Custom Office,Reg Number,Importer,HS Code,FOB Value (N),CIF Value (N),Total Tax(N),Receipt Number,Receipt Date,Mass(KG),Country  of Origin,Country  of Supply,Nbr Of Containers,Container Nbr,Container Size
NT,C43160,78381,27199000,201752,201752,59737,R51878,2021-11-05,1500,United Kingdom,United Kingdom,1,PONU7482759,45G1
NT,C43164,51136,15110000,7143244,8008369,542014,R53084,2021-05-13,26000,China,China,1,MSKU0099970,45G1
NT,C43168,57124,15800000,504541,547291,38554,R51229,2021-09-05,2140,Belgium,Belgium,2,TOLU4434244,20OT
NT,C43168,57124,15800000,504541,547291,38554,R51229,2021-09-05,2140,Belgium,Belgium,2,TRLU9022538,20OT
NT,C43168,57124,36500000,1271265,1379223,245824,R51229,2021-09-05,2140,Belgium,Belgium,2,TOLU4434244,20OT
NT,C43168,57124,36500000,1271265,1379223,245824,R51229,2021-09-05,2140,Belgium,Belgium,2,TRLU9022538,20OT
NT,C43169,40244,38900000,6331210,8002361,959549,R50198,2021-05-05,28000,China,China,2,BMOU4296021,40DV
NT,C43169,40244,38900000,6331210,8002361,959549,R50198,2021-05-05,28000,China,China,2,CCLU6602521,40DV
NT,C43180,87276,12200000,1346322,1802187,318101,R52060,2021-11-05,10000,India,India,1,GSLU2018854,22G0
NT,C43190,87276,12200000,5379700,6973644,1226587,R50543,2021-06-05,20000,India,India,4,ZCSU8205917,45G0
NT,C43190,87276,12200000,5379700,6973644,1226587,R50543,2021-06-05,20000,India,India,4,ZCSU8532099,45G0
NT,C43190,87276,12200000,5379700,6973644,1226587,R50543,2021-06-05,20000,India,India,4,ZCSU8214014,45G0
NT,C43190,87276,12200000,5379700,6973644,1226587,R50543,2021-06-05,20000,India,India,4,ZCSU8994707,45G0
NT,C43190,87276,46200000,2535414,3286386,394836,R50543,2021-06-05,17810,India,India,4,ZCSU8214014,45G0
NT,C43190,87276,46200000,2535414,3286386,394836,R50543,2021-06-05,17810,India,India,4,ZCSU8205917,45G0
NT,C43190,87276,46200000,2535414,3286386,394836,R50543,2021-06-05,17810,India,India,4,ZCSU8994707,45G0
NT,C43190,87276,46200000,2535414,3286386,394836,R50543,2021-06-05,17810,India,India,4,ZCSU8532099,45G0
NT,C43217,50543,35400000,2707395,3142174,380404,R50338,2021-06-05,24950,China,China,1,CSLU1397507,20DV
NT,C43226,13181,6400000,952322,1014771,295223,R50690,2021-06-05,6550,China,China,2,MSKU4256362,22G1
NT,C43226,13181,6400000,952322,1014771,295223,R50690,2021-06-05,6550,China,China,2,MRKU7807003,22G1
NT,C43243,11327,37200000,70924752,75928749,9206479,R50724,2021-06-05,32000,Lebanon,China,5,MSCU7263495,40HC
NT,C43243,11327,37200000,70924752,75928749,9206479,R50724,2021-06-05,32000,Lebanon,China,5,MEDU8340904,40HC
NT,C43243,11327,37200000,70924752,75928749,9206479,R50724,2021-06-05,32000,Lebanon,China,5,INKU6704673,40HC
